name,iata_code
Marechal Rondon Airport,CGB
Changde Airport,CGD
Cuyahoga County Airport,CGF
Congonhas Airport,CGH
Cape Girardeau Regional Airport,CGI
Kasompe Airport,CGJ
Soekarno-Hatta International Airport,CGK
Camiguin Airport,CGM
Cologne Bonn Airport,CGN
Zhengzhou Xinzheng International Airport,CGO
Shah Amanat International Airport,CGP
Longjia Airport,CGQ
Campo Grande Airport,CGR
Laguindingan Airport,CGY
Lovell Field,CHA
Christchurch International Airport,CHC
Chaoyang Airport,CHG
Chachapoyas Airport,CHH
Teniente FAP Jaime A De Montreuil Morales Airport,CHM
Charlottesville Albemarle Airport,CHO
Chania International Airport,CHQ
"ChÃ¢teauroux-DÃ©ols ""Marcel Dassault"" Airport",CHR
Charleston Air Force Base-International Airport,CHS
Chatham Islands-Tuuta Airport,CHT
Cap Manuel NiÃ±o International Airport,CHX
CiampinoâG. B. Pastine International Airport,CIA
The Eastern Iowa Airport,CID
Chifeng Airport,CIF
CapitÃ¡n AnÃ­bal Arab Airport,CIJ
Canton Island Airport,CIS
Shymkent Airport,CIT
Chippewa County International Airport,CIU
Canouan Airport,CIW
Capitan FAP Jose A Quinones Gonzales International Airport,CIX
Comiso Airport,CIY
Mayor General FAP Armando Revoredo Iglesias Airport,CJA
Coimbatore International Airport,CJB
El Loa Airport,CJC
Cheongju International Airport/Cheongju Air Base (K-59/G-513),CJJ
Chitral Airport,CJL
Chumphon Airport,CJM
Abraham GonzÃ¡lez International Airport,CJS
Jeju International Airport,CJU
North Central West Virginia Airport,CKB
Cherkasy International Airport,CKC
Chongqing Jiangbei International Airport,CKG
Chokurdakh Airport,CKH
Chkalovskiy Air Base,CKL
CarajÃ¡s Airport,CKS
Sarakhs Airport,CKT
Conakry International Airport,CKY
Ãanakkale Airport,CKZ
Mc Clellan-Palomar Airport,CLD
Cleveland Hopkins International Airport,CLE
Cluj-Napoca International Airport,CLJ
Easterwood Field,CLL
William R Fairchild International Airport,CLM
Brig. Lysias Augusto Rodrigues Airport,CLN
Alfonso Bonilla Aragon International Airport,CLO
Licenciado Miguel de la Madrid Airport,CLQ
Charlotte Douglas International Airport,CLT
Columbus Municipal Airport,CLU
Calvi-Sainte-Catherine Airport,CLY
Calabozo Airport,CLZ
Cunnamulla Airport,CMA
Bandaranaike International Colombo Airport,CMB
Cootamundra Airport,CMD
Ciudad del Carmen International Airport,CME
ChambÃ©ry-Savoie Airport,CMF
CorumbÃ¡ International Airport,CMG
John Glenn Columbus International Airport,CMH
University of Illinois Willard Airport,CMI
Mohammed V International Airport,CMN
Clermont Airport,CMQ
Colmar-Houssen Airport,CMR
Chimbu Airport,CMU
Ignacio Agramonte International Airport,CMW
Houghton County Memorial Airport,CMX
Coonamble Airport,CNB
Mihail KogÄlniceanu International Airport,CND
Tancredo Neves International Airport,CNF
Cognac-ChÃ¢teaubernard (BA 709) Air Base,CNG
Changhai Airport,CNI
Cloncurry Airport,CNJ
Sindal Airport,CNL
Cavern City Air Terminal,CNM
Kannur International Airport,CNN
Corrientes Airport,CNQ
ChaÃ±aral Airport,CNR
Cairns International Airport,CNS
Chanute Martin Johnson Airport,CNU
Chiang Mai International Airport,CNX
Comodoro Pierrestegui Airport,COC
Yellowstone Regional Airport,COD
Coeur D'Alene - Pappy Boyington Field,COE
Patrick Air Force Base,COF
Coonabarabran Airport,COJ
Cochin International Airport,COK
Concord Municipal Airport,CON
Cadjehoun Airport,COO
Choibalsan Airport,COQ
Ingeniero Ambrosio Taravella Airport,COR
City of Colorado Springs Municipal Airport,COS
Columbia Regional Airport,COU
Aviador C. Campos Airport,CPC
Coober Pedy Airport,CPD
Ingeniero Alberto AcuÃ±a Ongay International Airport,CPE
Copenhagen Kastrup Airport,CPH
Desierto de Atacama Airport,CPO
Casper-Natrona County International Airport,CPR
Cape Town International Airport,CPT
Presidente JoÃ£o Suassuna Airport,CPV
Shahrekord Airport,CQD
Calais-Dunkerque Airport,CQF
Craiova Airport,CRA
Santa Ana Airport,CRC
General E. Mosconi Airport,CRD
Grand Strand Airport,CRE
Jacksonville Executive at Craig Airport,CRG
Colonel Hill Airport,CRI
Diosdado Macapagal International Airport,CRK
Brussels South Charleroi Airport,CRL
Catarman National Airport,CRM
Corpus Christi International Airport,CRP
Caravelas Airport,CRQ
Crotone Airport,CRV
Yeager Airport,CRW
Turkmenabat Airport,CRZ
CaransebeÅ Airport,CSB
Creil Air Base,CSF
Columbus Metropolitan Airport,CSG
Cap Skirring Airport,CSK
Crossville Memorial Whitson Field,CSV
Changsha Huanghua International Airport,CSX
Cheboksary Airport,CSY
Catania-Fontanarossa Airport,CTA
Cut Bank International Airport,CTB
Catamarca Airport,CTC
Alonso Valderrama Airport,CTD
Rafael NuÃ±ez International Airport,CTG
Charleville Airport,CTL
Chetumal International Airport,CTM
Cooktown Airport,CTN
New Chitose Airport,CTS
Le Castellet Airport,CTT
Chengdu Shuangliu International Airport,CTU
Ciudad ConstituciÃ³n Airport,CUA
Jim Hamilton L.B. Owens Airport,CUB
Camilo Daza International Airport,CUC
Mariscal Lamar Airport,CUE
Cuneo International Airport,CUF
Caye Caulker Airport,CUK
Bachigualato Federal International Airport,CUL
CumanÃ¡ (Antonio JosÃ© de Sucre) Airport,CUM
CancÃºn International Airport,CUN
General Francisco BermÃºdez Airport,CUP
Coen Airport,CUQ
Hato International Airport,CUR
Cutral-Co Airport,CUT
General Roberto Fierro Villalobos International Airport,CUU
Alejandro Velasco Astete International Airport,CUZ
Cleve Airport,CVC
CoveÃ±as Airport,CVE
Cincinnati Northern Kentucky International Airport,CVG
General Mariano Matamoros Airport,CVJ
General Pedro Jose Mendez International Airport,CVM
Corvallis Municipal Airport,CVO
Carnarvon Airport,CVQ
Cannon Air Force Base,CVS
Coventry Airport,CVT
Central Wisconsin Airport,CWA
Afonso Pena Airport,CWB
Chernivtsi International Airport,CWC
Cangyuan Washan Airport,CWJ
Cardiff International Airport,CWL
Cowra Airport,CWT
Corowa Airport,CWW
Caicara del Orinoco Airport,CXA
Cox's Bazar Airport,CXB
Cassidy International Airport,CXI
Hugo Cantergiani Regional Airport,CXJ
Conroe-North Houston Regional Airport,CXO
Tunggul Wulung Airport,CXP
Cam Ranh Airport,CXR
Les Cayes Airport,CYA
Gerrard Smith International Airport,CYB
Caye Chapel Airport,CYC
Corryong Airport,CYG
Chiayi Airport,CYI
Vilo AcuÃ±a International Airport,CYO
Calbayog Airport,CYP
Cheyenne Regional Jerry Olson Field,CYS
Captain Rogelio Castillo National Airport,CYW
Cherskiy Airport,CYX
Cauayan Airport,CYZ
Chichen Itza International Airport,CZA
JosÃ© Leonardo Chirinos Airport,CZE
Cape Romanzof LRRS Airport,CZF
Corozal Municipal Airport,CZH
Mohamed Boudiaf International Airport,CZL
Cozumel International Airport,CZM
Cruzeiro do Sul Airport,CZS
Las Brujas Airport,CZU
Davison Army Air Field,DAA
Daytona Beach International Airport,DAB
Hazrat Shahjalal International Airport,DAC
Da Nang International Airport,DAD
Barstow Daggett Airport,DAG
Dallas Love Field,DAL
Damascus International Airport,DAM
Danville Regional Airport,DAN
Julius Nyerere International Airport,DAR
Daru Airport,DAU
Enrique Malek International Airport,DAV
James M Cox Dayton International Airport,DAY
El Alamein International Airport,DBB
Baicheng Chang'an Airport,DBC
Dhanbad Airport,DBD
Dubbo City Regional Airport,DBO
